Corpus;Corpus_URL;Size;Annotation;Licence;Language;Description;Buttons;Buttons_URL;Publication;Publication_URL;Note
Nganasan Spoken Language Corpus (NSLC);http://hdl.handle.net/11022/0000-0007-C6F2-8;32 hours;alignment of transcriptions and audio recordings;HZSK-RES (restricted, non-commercial only);Nganasan, Russian;This second version 0.2 of the corpus is a subcorpus that comprises 177 communications, 136 of which contain an aligned audio recording, with glossed (Toolbox/FLEx) and annotated (EXMARaLDA) transcripts from 57 speakers. All texts have been translated into Russian and English, some also into German. The corpus also contains rich metadata on the communications and speakers.;;;;;
LIA;https://www.hf.uio.no/iln/english/research/projects/language-infrastructure-made-accessible/index.html;1.5 million tokens;orthographically and phonetically transcribed, MSD-tagged, lemmatised;CLARIN ACA;Norwegian;This corpus contains interviews and conversation in Norwegian dialects.#SEPThe corpus is available through a Tekstlab concordancer (account needed).;Concordancer;https://tekstlab.uio.no/glossa2/lia;;;
NoTa-Oslo;http://www.tekstlab.uio.no/nota/oslo/english.html;1 million tokens;orthographically transcribed, MSD-tagged, lemmatised;CLARIN ACA;Norwegian;This corpus contains interviews and conversations in Oslo sociolects.#SEPThe corpus is available through a Tekstlab concordancer (account needed).;Concordancer;https://tekstlab.uio.no/glossa2/nota_oslo;;;
TAUS;http://www.tekstlab.uio.no/nota/taus/english.html;270 000 tokens;MSD-tagged, lemmatised, orthographically and partially phonetically transcribed;CLARIN ACA;Norwegian;This corpus contains informal interviews in Oslo sociolects.#SEPThe corpus is available through a Tekstlab concordancer (account needed).;Concordancer;https://tekstlab.uio.no/glossa2/taus2;;;
The BigBrother Corpus;http://www.tekstlab.uio.no/nota/bigbrother/english.html;440,300 tokens;orthographically transcribed, msd-tagged, lemmatised;CLARIN ACA;Norwegian;This corpus contains recordings and transcripts from the Norwegian Big Brother in 2001.#SEPThe corpus is available through a Tekstlab concordancer.;Concordancer;https://tekstlab.uio.no/glossa2/bb;;;
Corpus of American Nordic Speech (CANS);http://tekstlab.uio.no/norskiamerika/english/corpus.html;251,000 tokens;orthographically and phonetically transcribed, MSD-tagged, lemmatised;CLARIN ACA;Norwegian, Swedish;This corpus contains interviews, conversations. Norwegian and Swedish dialects in America.#SEPThe corpus is available through a Tekstlab concordancer.;Concordancer;https://tekstlab.uio.no/glossa2/cans;Johannessen (2015);https://www.clarin.eu/resource-families/spoken-corpora#Johannessen;
Nordic Dialect Corpus v. 4.0;http://www.tekstlab.uio.no/nota/scandiasyn/nsd.html;2,754,289 tokens;MSD-tagged, phonetically transcribed, orthographically transcribed;CLARIN ACA;Norwegian, Swedish, Danish, Faroese, Icelandic, Övdalian;This corpus consists of pontaneous speech data from dialects of the North Germanic languages across all of the Nordic countries. The linguistic data in the corpus comes from a variety of sources, (see homepage - Data Collection), recorded in 1998 - 2015. The corpus transcribed and linked to audio and video, has a map function, and can be searched in a large variety of ways.#SEPThe corpus can be accessed online via a concordancer provided by the TekstLab (a CLARINO node).;Concordancer;http://www.tekstlab.uio.no/nota/scandiasyn/nsd.html;;;
Hamburg Corpus of Polish in Germany (HamCoPoliG);http://hdl.handle.net/11022/0000-0000-63CE-9;38 hours;;HZSK-RES (restricted, non-commercial only);Polish;This corpus contains spontaneous speech and reading tasks.;;;Czachór (2012);https://www.clarin.eu/resource-families/spoken-corpora#Czach%C3%B3r%202012;
Consecutive and Simultaneous Interpreting (CoSi);http://hdl.handle.net/11022/0000-0000-5225-A;6 hours;;HZSK-RES (restricted, non-commercial only);Portuguese, English;This corpus contains lectures in Portuguese with simultaneous interpretation in English.;;;;;
Skolt Saami Documentation Corpus (2016);http://urn.fi/urn:nbn:fi:lb-2014073037;19 hours;MSD-tagged;CLARIN RES;Skolt Saami;This corpus contains interviews.#SEPThis corpus is available for online querying through the LAT platform.;LAT platform;http://hdl.handle.net/11113/00-0000-0000-0000-32A7-7@view;;;
Hamburg Corpus of Argentinean Spanish (HaCASpa);http://hdl.handle.net/11022/0000-0000-5F0B-B;19 hours;orthographically transcribed;HZSK-RES (restricted, non-commercial only);Spanish (Argentinian);This corpus contains spontaneous speech and reading tasks.;;;Gabriel et al. (2010);https://www.clarin.eu/resource-families/spoken-corpora#gabriel%202010;
Catalan in a bilingual context (PhonCAT);http://hdl.handle.net/11022/0000-0000-772F-7;144 hours;orthographically and phonetically transcribed;HZSK-RES (restricted, non-commercial only);Spanish (Catalan);This corpus contains read, elicited and spontaneous speech.;;;Benet et al. (2012);https://www.clarin.eu/resource-families/spoken-corpora#Benet%20et%20al.%202012;
