"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Language";"Description";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Emigrantendeutsch in Israel: Wiener in Jerusalem";"http://hdl.handle.net/10932/00-0332-C42A-423C-2401-D";"225,000 words, 51 hours";"PoS-tagged, lemmatised, time-aligned, orthographically transcribed";"CLARIN RES";"German";"This corpus contains interviews in German extraterritorial varieties.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-0332-C42A-423C-2401-D#SEPhttp://hdl.handle.net/10932/00-0332-C42A-423C-2401-D";;;
"Emigrantendeutsch in Israel";"http://hdl.handle.net/10932/00-0332-C3A7-393A-8A01-3";"232,000 words, 285 hours";"orthographically transcribed, lemma, PoS-tagged, time alignment";"CLARIN RES";"German";"This corpus contains interviews in German extraterritorial varieties.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-0332-C3A7-393A-8A01-3#SEPhttp://hdl.handle.net/10932/00-0332-C3A7-393A-8A01-3";;;
"Elizitierte Konfliktgespräche";"http://hdl.handle.net/10932/00-0332-C11A-46E1-0001-A";"160,000 words, 12 hours";"orthographically transcribed";"CLARIN RES";"German";"This corpus contains elicited conflict interaction.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-0332-C11A-46E1-0001-A#SEPhttp://hdl.handle.net/10932/00-0332-C11A-46E1-0001-A";;;
"Dialogstrukturen";"http://hdl.handle.net/10932/00-0332-C0BE-562F-C101-E";"140,000 words, 15 hours";"orthographically transcribed, intonation, lemmatised, PoS-tagged, time alignment";"CLARIN RES";"German";"This corpus contains authentic interaction from various domains.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-0332-C0BE-562F-C101-E#SEPhttp://hdl.handle.net/10932/00-0332-C0BE-562F-C101-E";;;
"Deutsche Umgangssprachen: Pfeffer-Korpus";"http://hdl.handle.net/10932/00-0332-C9D0-78FE-3C01-2";"646,000 words, 80 hours";"PoS-tagged, lemmatised, time-aligned, orthographically transcribed";"CLARIN RES";"German";"This corpus contains interviews in regional varieties of German.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-0332-C9D0-78FE-3C01-2#SEPhttp://hdl.handle.net/10932/00-0332-C9D0-78FE-3C01-2";;;
"Deutsche Standardsprache: König-Korpus";"http://hdl.handle.net/10932/00-0332-C489-C64D-6D01-9";"50,000 words, 6 hours";"PoS-tagged, lemmatised, time-aligned, orthographically transcribed";"CLARIN RES";"German";"This corpus contains interviews and elicited speech in standard German#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-0332-C489-C64D-6D01-9#SEPhttp://hdl.handle.net/10932/00-0332-C489-C64D-6D01-9";;;"Excerpt - complete corpus (around 120 hours) currently in the process of curation"
"Deutsche Mundarten: ehemalige deutsche Ostgebiete";"http://hdl.handle.net/10932/00-0332-C68C-5D03-EB01-7";"838,000 words, 461 hours";"PoS-tagged, lemmatised, time-aligned, orthographically transcribed";"CLARIN RES";"German";"This corpus contains interviews and elicited speech in German dialects.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-0332-C68C-5D03-EB01-7#SEPhttp://hdl.handle.net/10932/00-0332-C68C-5D03-EB01-7";;;
"Deutsche Hochlautung";"http://hdl.handle.net/10932/00-0332-C35C-4849-7B01-7";"10,000 words, 2 hours";"PoS-tagged, lemmatised, time-aligned, orthographically transcribed";"CLARIN RES";"German";"This corpus contains broadcasts in standard German.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-0332-C35C-4849-7B01-7#SEPhttp://hdl.handle.net/10932/00-0332-C35C-4849-7B01-7";;;
"Corpus SI1000";"http://hdl.handle.net/11022/1009-0000-0007-EBFB-6";"32.8 hours";"orthographically transcribed";"CLARIN ACA";"German";"The corpus contains read speech of 10 different speakers. Each speaker has read approx. 1000 sentences from a German news paper corpus, thus resulting in a total of approx. 10000 recorded utterances. The recording took place at the Institut fuer Phonetik, University of Munich, Germany in 1994.";"Download";"http://hdl.handle.net/11022/1009-0000-0007-EBFB-6";;;
"Corpus SI100";"http://hdl.handle.net/11022/1009-0000-0007-E9CF-A";"31.5 hours";"orthographically transcribed";"CLARIN ACA";"German";"The corpus contains read speech of 101 different speakers (50 female, 50 male, 1 unknown). Each speaker has read approx. 100 sentences from either the SZ subcorpus or the CeBit subcorpus. The language is German. The subcorpus SZ contains 544 sentences from newspaper articles (""Sueddeutsche Zeitung""). The subcorpus CeBit contains 483 sentences from newspaper articles about the CeBit 1995. Each subcorpus is divided into 5 parts of approx. 100 utterances each. Every speaker read only one part of one subcorpus (with some exceptions), thus resulting in a total of 10.387 recorded utterances";"Download";"http://hdl.handle.net/11022/1009-0000-0007-E9CF-A";;;
"Corpus SHC";"http://hdl.handle.net/11022/1009-0000-0007-0700-1";"30.6 hours";"orthographically transcribed";"CLARIN ACA";"German";"The corpus comprises a collection of user queries to a naturally spoken Web interface with the main focus on the soccer world series in 2006. The recordings include field recordings using a hand-held UMTS device (one person, SmartWeb Handheld Corpus SHC), field recordings with video capture of the primary speaker and a secondary speaker (SmartWeb Video Corpus SVC) as well as mobile recordings performed on a BMW motorbike (one speaker, SmartWeb Motorboke Corpus SMC). ";"Download";"http://hdl.handle.net/11022/1009-0000-0007-0700-1";;;
"Corpus SC2";"http://hdl.handle.net/11022/1009-0000-0005-0E95-4";"9 hours";"orthographically transcribed";"CLARIN ACA";"German";"The corpus contains read speech of 10 different speakers with screen prompted 'automobil diagnosis phrases' recorded under real conditions in two different car maintenance halls. The language is German. All speakers are male native Germans and have never participated in such a task before. They are all experts in the field of car diagnosis. Each speaker has spoken 800 3-7 word utterances derived from 100 different sentences (see sc2_ort.txt) resulting in a total of 8000 utterances.";"Download";"http://hdl.handle.net/11022/1009-0000-0005-0E95-4";;;
"Corpus SC10";"http://hdl.handle.net/11022/1009-0000-0002-1129-D";"10 hours";"orthographically transcribed";"CLARIN ACA";"German";"The corpus contains read and non-prompted German and mother tongue speech of 70 different speakers from 17 mother tongues (L1) in a variety of speaking styles e.g. reading, retelling, free talk etc. ";"Download";"http://hdl.handle.net/11022/1009-0000-0002-1129-D";;;
"Corpus SC1";"http://hdl.handle.net/11022/1009-0000-0002-0B76-E";"1.5 hours";"orthographically transcribed";"CLARIN ACA";"German";"The corpus contains speech of 88 different speakers, reading the German story 'Der Nordwind und die Sonne'. Subcorpus T contains the recordings of 16 native Germans (L1). The other 72 speakers which were born and educated in other countries (L2) are pooled in subcorpus C. Every speaker has a distinct accent. ";"Download";"http://hdl.handle.net/11022/1009-0000-0002-0B76-E";;;
"Corpus RVG1_CLARIN";"http://hdl.handle.net/11022/1009-0000-0004-3FF4-3";"32 hours";"orthographically transcribed";"CLARIN ACA";"German";"The corpus is a collection of more than 500 speakers of different dialect regions of Germany. The recordings were made using four different microphones (two in low and two in high quality) and consist of single digits, connected digits, phone numbers, phonetically balanced sentences, computer command phrases prompted on a screen, and 1 min spontaneous speech (monologue). The speakers were recorded in normal office environments. The backround noise was limited to the usual noise in office environment, eg. door slam, backround crosstalk, phone ringing, paper rustle, PC noise, etc. ";"Download";"http://hdl.handle.net/11022/1009-0000-0004-3FF4-3";;;
"Corpus HEMPEL";"http://hdl.handle.net/11022/1009-0000-0002-F80E-8";"25.5 hours";"orthographically transcribed";"CLARIN ACA";"German";"This corpus is a collection of more than 3900 spontaneous speech items recorded as extra material during the German SpeechDat-II project. Speakers were asked to report what they had been doing during the last hour: ""Was haben Sie in der letzten Stunde gemacht?"". This item was recorded as the last item of the recording session. Speakers had become acquainted with the recording procedure and they were quite relaxed because they knew that this item was the last to be recorded. This resulted in quite natural, colloquial speech, sometimes with marked regional accent.";"Download";"http://hdl.handle.net/11022/1009-0000-0002-F80E-8";;;
"Corpus FORMTASK";"http://hdl.handle.net/11022/1009-0000-0005-8535-9";"24.5 hours";"orthographically transcribed";"CLARIN PUB";"German";"This is a corpus of telephone conversations including prompted descriptions of typical forms (Berlin public transport ticket, invoices, Austrian parking tickets, newsstand receipts, money transfer forms) found in everyday life. ";"Download";"http://hdl.handle.net/11022/1009-0000-0005-8535-9";;;
"Corpus BROTHERS";"http://hdl.handle.net/11022/1009-0000-0001-55C3-3";"1.5 hours";"orthographically transcribed";"CLARIN ACA";"German";"This corpus contains recordings of pairs of brothers between the ages of 19 and 31. The native and recorded language is German. Recordings consist of minimal pairs in carrier sentences, a different set of sentences aimed at elicitating the full range of German vowels ('Berliner Sätze'), and a spontaneous dialogue about a TV-series. Recordings were made via a table microphone (studio quality) and via telephone (telephone quality). ";"Download";"http://hdl.handle.net/11022/1009-0000-0001-55C3-3";;;
"Corpus BITS";"http://hdl.handle.net/11022/1009-0000-0007-C2C0-4";"16.5 hours";"orthographically transcribed, phonetic, phonemic, prosodic";"CLARIN RES";"German";"This is a corpus for speech synthesis using concatenative technique.";"Download";"http://hdl.handle.net/11022/1009-0000-0007-C2C0-4";;;
"Consonant Cluster Production in Cochlear Implant Patients";"http://hdl.handle.net/11022/1009-0000-0001-AF40-2";"2 hours";"orthographically transcribed";"CLARIN ACA";"German";"This corpous contains German speech recordings of 48 cochlear implant users (CI) and 48 speakers without hearing impairment (control group, KG).";"Download";"http://hdl.handle.net/11022/1009-0000-0001-AF40-2";;;
"Cluster Production in Cochlear Implant Patients (diachronic data)";"http://hdl.handle.net/11022/1009-0000-0000-A99C-2";"14 min";"orthographically transcribed";"CLARIN ACA";"German";"This corpus contains diachronic speech recordings from three cochlear implant (CI) users. For data used in the corresponding synchronic study, please refer to the CI_2 corpora.  This corpus contains recordings used for the analysis of the temporal dynamics of the consonant cluster /ʃtr/.";"Download";"http://hdl.handle.net/11022/1009-0000-0000-A99C-2";;;
"CI Articulation";"http://hdl.handle.net/11022/1009-0000-0001-8B63-3";"5 hours";"orthographically transcribed";"CLARIN ACA";"German";"This corpus contains speech recordings of normal hearing speakers and speakers equipped with Cochlear Implants (CI). Speech data were collected with the software SpeechRecorder, for each recording a BPF file was generated (*.par).";"Download";"http://hdl.handle.net/11022/1009-0000-0001-8B63-3";;;
"Biographische und Reiseerzählungen";"http://hdl.handle.net/10932/00-0332-BD7C-3EF5-0B01-4";"50,000 words, 6 hours";"orthographically transcribed";"CLARIN RES";"German";"This corpus contains narrative and biographic interviews.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-0332-BD7C-3EF5-0B01-4#SEPhttp://hdl.handle.net/10932/00-0332-BD7C-3EF5-0B01-4";;;
"Bielefeld Speech and Gesture Alignment Corpus";"http://hdl.handle.net/11022/1009-0000-0000-DEC1-C";"9881 words";"Annotations of gestures and speech-gesture referents";"CLARIN ACA";"German";"The corpus is made up of 25 dialogs of interlocutors (50), who engage in a spatial communication task combining direction-giving and sight description. Six of those dialogues with data only from the direction giver are available including audio (*.wav) and video (*.mp4) data.  There are 1764 isolated gestures in the corpus";"Download";"http://hdl.handle.net/11022/1009-0000-0000-DEC1-C";;;
"Berliner Wendekorpus";"http://hdl.handle.net/10932/00-0332-BD7C-3EF5-0B01-4";"260,000 words, 28 hours";"literal and PoS-tagged, lemmatised, time-aligned, orthographically transcribed";"CLARIN RES";"German";"This corpus contains narrative interviews on German reunification.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-0332-BD7C-3EF5-0B01-4#SEPhttp://hdl.handle.net/10932/00-0332-BD7C-3EF5-0B01-4";;;
"Belgische TV-Debatten";"http://hdl.handle.net/10932/00-03FA-9CB0-5E33-8E01-8";"10 hours";"orthographically transcribed, lemmaized";"CLARIN RES";"German";"This corpus contains broadcast TV debates#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-03FA-9CB0-5E33-8E01-8#SEPhttp://hdl.handle.net/10932/00-0332-BCF9-BE93-5F01-E";;;
"BAS ZIPTEL";"http://hdl.handle.net/11022/1009-0000-0003-1E02-A";"14 hours";"orthographically transcribed";"CLARIN ACA";"German";"The ZipTel telephone speech database contains recordings of people applying for a SpeechDat prompt sheet via telephone. For the SpeechDat data collection, calls for participation were published in ""phone"", the customer magazine of the mobile telephone provider ""e-plus"", and in numerous newspapers all over Germany. In these calls, a telephone number was given where callers could order a SpeechDat prompt sheet. The calls were recorded by an automatic telephone server; callers were asked to provide name, address and telephone number. The ZipTel telephone speech database consists of 1957 recording sessions with a total of 7746 signal files. A recording session corresponds to one phone call, each signal file contains a single recorded utterance from the recording session. ";"Download";"http://hdl.handle.net/11022/1009-0000-0003-1E02-A";;;
"BAS Verbmobil Emotion";"http://hdl.handle.net/11022/1009-0000-0004-2BCC-7";"17 hours";"orthographically transcribed, emotions";"CLARIN ACA";"German";"This database contains speech signals of dialogues in which a subject was recorded during a conversation via a spontaneous speech translation system. The response of the system was designed to invoke emotions (e.g. anger) in the subjects. It is part of the larger Verbmobil 2 speech data collection. Starting from BAS Clarin Respository version 2, the database is also distributed as an emuR comptatible emu database.";"Download";"http://hdl.handle.net/11022/1009-0000-0004-2BCC-7";;;
"BAS SmartWeb Video";"http://hdl.handle.net/11022/1009-0000-0007-C059-C";"16.2 hours";"orthographically transcribed, user state";"CLARIN ACA";"German";"The corpus comprises a collection of user queries to a naturally spoken Web interface with the main focus on the soccer world series in 2006. The recordings include 156 field recordings using a hand-held UMTS device (one person, SmartWeb Handheld Corpus SHC), 99 field recordings with video capture of the primary speaker and a secondary speaker (SmartWeb Video Corpus SVC) as well as 36 mobile recordings performed on a BMW motorbike (one speaker, SmartWeb Motorbike Corpus SMC). ";"Download";"http://hdl.handle.net/11022/1009-0000-0007-C059-C";;;
"BAS Siemens Hoergeraete Corpus";"http://hdl.handle.net/11022/1009-0000-0002-1303-5";"24 hours";"Turn segmentation";"CLARIN ACA";"German";"This is a corpus of spontaneous, relatively casual dialogues in German. Each pair of dialogue partners is recorded conversing under real-noise conditions (in a noisy cafeteria and in a car going at different velocities), as well as in a studio at various levels of lombard noise played directly into the subjects' ears.";"Download";"http://hdl.handle.net/11022/1009-0000-0002-1303-5";;;
"BAS Regional Variants of German - Juveniles";"http://hdl.handle.net/11022/1009-0000-0004-AE1D-9";"100 hours";"orthographically transcribed";"CLARIN ACA";"German";"The corpus contains both read and non-scripted German utterances. It comprises the original RVG prompts (telephone numbers, sentences, commands, digits, etc.) plus spellings, date and time expressions, and free form responses to questions, e.g. ""What are you wearing?"", ""How did you get here?"", etc. The speakers were adolescents between 13 and 20 years of age, recruited in public schools in Munich and the suburbs. More than 95% of the speakers have German as their mother language, and almost all of them attended school in Bavaria; 89 of them were male and 93 female. ";"Download";"http://hdl.handle.net/11022/1009-0000-0004-AE1D-9";;;
"BAS Database for Signer-Independent Continuous Sign Language Recognition";"http://hdl.handle.net/11022/1009-0000-0000-D8A5-2";"55 hours";"Sign language";"CLARIN ACA";"German";"The contains both isolated and continuous utterances of various signers. Since we use a vision-based approach for sign language recognition the corpus was recorded on video. For quick random access to individual frames, each video clip is stored as a sequence of images. The vocabulary comprises 450 basic signs in German Sign Language (DGS) representing different word types. Based on this vocabulary, overall 780 sentences were constructed.";"Download";"http://hdl.handle.net/11022/1009-0000-0000-D8A5-2";;;
"BAS Alcohol Language Corpus";"http://hdl.handle.net/11022/1009-0000-0001-88E5-3";"94 hours";"orthographically transcribed, phonemic, user state";"CLARIN ACA";"German";"This corpus contains recordings of 162 speakers while being sober and intoxicated. Beginning with version 3, this corpus edition also contains an emuR compatible database version of the corpus (with a minor bugfix in the database in version 3.1).";"Download";"http://hdl.handle.net/11022/1009-0000-0001-88E5-3";;;
"Australiendeutsch";"http://hdl.handle.net/10932/00-0332-BCF9-BE93-5F01-E";"330,000 words, 65 hours";"PoS-tagged, lemmatised, time-aligned, orthographically transcribed";"CLARIN RES";"German";"This corpus contains interviews in German extraterritorial varieties.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-0332-BCF9-BE93-5F01-E#SEPhttp://hdl.handle.net/10932/00-0332-BCF9-BE93-5F01-E";;;
"aGender";"http://hdl.handle.net/11022/1009-0000-0001-1500-7";"47 hours";"orthographically transcribed";"CLARIN ACA";"German";"The speech corpus aGender contains speech sample recordings over public telephone lines with read and (semi-)spontaneous speech. Native German speakers called a voice portal from their private phone, and read text + answered some open questions. The purpose of the corpus is the automatic detection of gender and/or age (7 mixed classes ranging from 7 - 80 years). The corpus contains the voices of 945 German speakers (approx. minimum of 100 speakers per class), each delivering 18 speech items in up to six different sessions.";"Download";"http://hdl.handle.net/11022/1009-0000-0001-1500-7";;;
"AbsolventInnen";"http://hdl.handle.net/11022/1009-0000-0007-EC5D-8";"2 hours";"orthographically transcribed, phonetic, phonemic transcription";"CLARIN ACA";"German";"This corpus provides data for examining the pronunciation of gender-neutral forms in German. The recordings took place at the IPS in the Munich region. 56 texts were recorded from 40 speakers. The texts came from newspapers, websites, administration offices, social services, etc., and were modified to contain either one of the three gender-neutral forms or the extended form. Each of the speakers read the 56 sentences, with target words, 25 % each, asterisk, underscore, uppercase-I or the feminine plural-form in a counterbalancing measures design. Filler sentences for this study are not a part of the corpus but will be part of further investigations. That means, that there are 56 recordings per session.";"Download";"http://hdl.handle.net/11022/1009-0000-0007-EC5D-8";;;
"GeWiss";"https://gewiss.uni-leipzig.de/index.php?id=home&L=1";"1.4 million tokens, 123 hours";"code switching";;"German (L2 and L1), English, Polish, Italian (L1)";"This corpus contains transcripts and audio recordings of spoken  academic discourse, primarily talks including discussions and oral exams.";"Concordancer";"https://gewiss.uni-leipzig.de/index.php?id=full_texts&L=1";"Fandrych et al. (2014)";"https://gewiss.uni-leipzig.de/fileadmin/documents/Fandrych%20et%20al.%20%282014%29%20Inhalt.pdf";
"Deutsche Mundarten: Zwirner-Korpus";"http://hdl.handle.net/10932/00-0332-D40A-3CEE-B901-4";"4 million words, 1076 hours";"PoS-tagged, lemmatised, time-aligned, orthographically transcribed";"CLARIN RES";"German, (some Frisian and Dutch)";"This corpus contains interviews and elicited speech in German dialects.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-0332-D40A-3CEE-B901-4#SEPhttp://hdl.handle.net/10932/00-0332-D40A-3CEE-B901-4";;;
"Deutsche Mundarten: DDR";"http://hdl.handle.net/10932/00-0332-BE28-4317-5D01-B";"212,000 words, 385 hours";"PoS-tagged, lemmatised, time-aligned, orthographically transcribed";"CLARIN RES";"German, (some Sorbian)";"This corpus contains interviews and elicited speech in German dialects.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-0332-BE28-4317-5D01-B#SEPhttp://hdl.handle.net/10932/00-0332-BE28-4317-5D01-B";;;
"EXMARaLDA Demo Corpus 1.0";"http://hdl.handle.net/11022/0000-0000-4F70-A";"2 hours";"suprasegmental information, accentuation/stress marking";"HZSK-PUB (public, non-commercial only)";"German, English, French, Spanish, Turkish, Polish, Vietnamese, Swedish, Norwegian, Italian, Russian, Afrikaans, Portuguese";"This corpus is a demo of the <a href=""http://exmaralda.org/en/about-exmaralda/"">EXMARaLDA</a> system.#SEPThe corpus is available for download from a CLARIN-D repository.";"Download";"http://hdl.handle.net/11022/0000-0000-4F70-A";;;
"Corpus Verbmobil II";"http://hdl.handle.net/11022/1009-0000-0000-FC55-5";"65.8 hours";"orthographically transcribed, phonetic, phonemic, prosodic";"CLARIN ACA";"German, English, Japanese";"Verbmobil 2 contains the speech of 401 speakers participating in 810 recordings. The emotional tagged recordings are not part of this edition but are collected inthe corpus 'BAS VMEmo'. The total VM2 corpus amounts to 17.6GB of data containing 58961 conversational turns distributed on 39 CD-R. VM2 contains dialogs in German, English, Japanese and mixed language pairs (partly with interpreter). The domain is appointment scheduling, travel planing, leisure time planing. Starting from version 3, the corpus is also available in emuR compatible emuDB format (see annotation files ending in *_annot.json).";"Download";"http://hdl.handle.net/11022/1009-0000-0000-FC55-5";;;
"Corpus Verbmobil I";"http://hdl.handle.net/11022/1009-0000-0000-EB31-0";"77 hours";"orthographically transcribed, phonetic, phonemic, prosodic";"CLARIN ACA";"German, English, Japanese";"The Verbmobil (VM) dialog database is a collection of German, American and Japanese dialog recordings in the appointment scheduling task. The data were collected during the first phase (1993 - 1996) of the German VM project funded by the German Ministry of Science and Technology (BMBF). Starting with version 3, the corpus is also provided as an emuR comptatible database.";"Download";"http://hdl.handle.net/11022/1009-0000-0000-EB31-0";;;
"Gesprochene Wissenschaftssprache Kontrastiv";"http://hdl.handle.net/10932/00-03BC-7412-E7EA-4101-3";"760,000 words, 92 hours";"literal and PoS-tagged, lemmatised, time-aligned, orthographically transcribed, annotation of discourse phenomena and language mixing";"CLARIN RES";"German, English, Polish, Bulgarian";"This corpus contains academic interaction.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-03BC-7412-E7EA-4101-3#SEPhttp://hdl.handle.net/10932/00-03BC-7412-E7EA-4101-3";;;
"Hamburg Adult Bilingual LAnguage (HABLA)";"http://hdl.handle.net/11022/0000-0000-5C64-9";"79 hours";;"HZSK-RES (restricted, non-commercial only)";"German, French, Italian";"This corpus contains interviews.";;;"Kupisch et al. (2012)";"https://www.clarin.eu/resource-families/spoken-corpora#Kupisch%20et%20al.%202012";
"Hungarian Speecon Database";"http://metashare.tilde.com/repository/browse/hungarian-speecon-database/9c3954cede7611e2b1e400259011f6ea39dfd520967642e8bd0830d8e08c72f5/";;;"ELRA";"Hungarian";"This corpus contains speech tasks involving adults and children.#SEPThe corpus is available for download from the ELRA catalogue.";"Download";"http://metashare.tilde.com/repository/browse/hungarian-speecon-database/9c3954cede7611e2b1e400259011f6ea39dfd520967642e8bd0830d8e08c72f5/";;;
"Budapest Sociolinguistic Interview - version 2";"http://buszi.nytud.hu/";"270,000 words";"MSD-tagged, spoken language phenomena (hesitation, consonant drops)";"CLARIN RES";"Hungarian";"This corpus contains sociolinguistic interviews conducted with 50 individuals.#SEPThe corpus is available for download and through a dedicated concordancer.";"Concordancer#SEPDownload";"http://buszi.nytud.hu/keresoprogramok#SEPhttp://buszi.nytud.hu/buszi-2-iranyitott-beszelgetesek";"Kontra and Váradi (1997)";"https://www.clarin.eu/resource-families/spoken-corpora#Kontra%201997";
"The Icelandic Spoken Language Corpus";"https://clarin.is/en/resources/spoken/";"536,000 tokens";"tokenised, PoS-tagged, lemmatised";"CC-BY 4.0";"Icelandic";"This corpus contains four different subcorpora: (1) Spontaneous conversations, from the project ÍSTAL (An Icelandic Spoken Language Bank), (2) Group conversations, from the project MIN (Modern loanwords in the Nordic languages), (3) Parliamentary debates, (4) Conversations of teenagers with other teenagers and adults#SEPThe corpus is available for download from CLARIN-IS (as a part of the <a href=""https://clarin.is/en/resources/gigaword/"">Icelandic Gigaword Corpus</a>) and for search through the concordancer Korp.";"Concordancer#SEPDownload";"https://malheildir.arnastofnun.is/?mode=mim#?lang=en&stats_reduce=word&isCaseInsensitive&searchBy=word&cqp=%5B%5D&corpus=mim_talmal#SEPhttp://www.malfong.is/index.php?lang=en&pg=&dlid=95";"Steingrímsson et al. (2018)";"https://www.clarin.eu/resource-families/spoken-corpora#Steingr%C3%ADmsson%20et%20al.%202018";
"Kennslurómur";"http://hdl.handle.net/20.500.12537/171";"51 hours";"sentence-segmented orthographic transcriptions";"CC BY 4.0";"Icelandic";"This corpus contains recordings of lectures at <a href=""https://en.ru.is"">Reykjavik University</a> and the <a href=""https://english.hi.is/university_of_iceland"">University of Iceland</a>. The lectures were donated by the lecturers (172 lectures by 14 lecturers), transcribed with an Icelandic speech recognizer and then manually corrected by human transcribers and finally verified by a proofreader.";"Download";"http://hdl.handle.net/20.500.12537/171";;;
"Samrómur";"http://hdl.handle.net/20.500.12537/189";"145 hours, 100,000 utterances";"orthographically transcribed";"CC BY 4.0";"Icelandic";"This corpus contains validated speech-recordings and is a result of a crowd-sourcing effort run by the <a href=""https://lvl.ru.is/"">Language and Voice Lab</a> at Reykjavik University in cooperation with <a href=""https://www.almannaromur.is/en"">Almannarómur, Center for Language Technology</a>.#SEPThe corpus contains recordings by 8,392 different speakers, with the average recording lenth being 5.2 seconds. Transcriptions of the read texts are also available.#SEPThe corpus is available for download from the CLARIN.IS repository.";"Download";"http://hdl.handle.net/20.500.12537/189";;;
"Spjallromur - Icelandic Conversational Speech";"http://hdl.handle.net/20.500.12537/187";"21 hours";;"CC BY 4.0";"Icelandic";"This corpus contains recordings of 54 conversations by 102 speakers, recorded between September 2020 and September 2021.#SEPThe corpus is available for download from the CLARIN.IS repository.";"Download";"http://hdl.handle.net/20.500.12537/187";;;
"Talrómur 2";"http://hdl.handle.net/20.500.12537/167";"56,225 utterances";;"CC BY 4.0";"Icelandic";"This corpus consists of recordings of forty different speakers reading short sentences and is intended for modelling prosody.#SEPThe corpus is available for download from the CLARIN.IS repository.";"Download";"http://hdl.handle.net/20.500.12537/167";;;
"LMU AsiCa";"http://hdl.handle.net/11022/1009-0000-0000-A531-E";"47 hours";"phonetic transcription";"CLARIN RES";"Italian";"This corpus is a documentation of the South Italian dialect 'Calabrese'. The main objects when building this corpus were the analysis of syntactical structures and their geolinguistic mapping in form of interactive, webbased cartography. The corpus consists of several audio files containing recordings of some sixty speakers of Calabrese one half of which having migration experience in Germany the other half almost always having stayed in Calabria. Furthermore the informants were selected equally balanced regarding gender, age and geographical origin. Of most of the informants there exist at least one recording with spontanous speech and one recording based on stimuli each.";"Download";"http://hdl.handle.net/11022/1009-0000-0000-A531-E";;;
"Corpus CLIPS_MT_MANUAL";"http://hdl.handle.net/11022/1009-0000-0000-A9EE-6";"3 hours";"orthographically transcribed, phonemic, phonetic";"CLARIN ACA";"Italian";"This is a sub-corpus of the original Italian CLIPS corpus (Corpora e Lessici dell'Italiano Parlato e Scritto) that is manually annotated and covers only 15 maptask dialogues recorded in 15 locations by local speaker pairs. this corpus contains 3228 inspected and partially repaired WAV signal files, each containing one dialogue turn (*.wav), 3228 corrected original CLIPS annotation files (*.acs, *.phn, *.std, *.wrd), 3228 BAS Partitur files containing the annotation tiers ORT, KAN and SAP (*.par), 3228 EMU database annotation files (*.vot, *.hlb) covering 30 maptask dialogues performed by 30 speakers (each speaker pair performing two different map tasks) recorded in 15 different locations in Italy in 2000-2004.";"Download";"http://hdl.handle.net/11022/1009-0000-0000-A9EE-6";;;
"CLIPS : corpora e lessici di italiano parlato e scritto";"http://hdl.handle.net/11372/LRT-865";"100 hours";;;"Italian";"This corpus contains speech from 15 different cities in Italy.";"Download";"http://www.clips.unina.it/it/corpus.jsp";;;
